dict_a,dict_b,intersection,union,jaccard,a_in_b,b_in_a,size_a,size_b
STC,VCP,9508,63114,0.1506,0.3964,0.1955,23986,48636
STC,VEI,1374,26316,0.0522,0.0573,0.3710,23986,3704
STC,WIL,9181,58744,0.1563,0.3828,0.2089,23986,43939
STC,YAT,9445,59261,0.1594,0.3938,0.2112,23986,44720
VCP,VEI,1819,50521,0.0360,0.0374,0.4911,48636,3704
VCP,WIL,26178,66397,0.3943,0.5382,0.5958,48636,43939
VCP,YAT,25194,68162,0.3696,0.5180,0.5634,48636,44720
VEI,WIL,1365,46278,0.0295,0.3685,0.0311,3704,43939
VEI,YAT,1360,47064,0.0289,0.3672,0.0304,3704,44720
WIL,YAT,40703,47956,0.8488,0.9264,0.9102,43939,44720
