root	finite_tokens	distinct_cells	cells
parīkṣ	129	20	Pres.Opt.Act.3.Sing:86;Pres.Ind.Pass.3.Sing:12;Pres.Ind.Act.3.Sing:6;Pres.Imp.Pass.3.Sing:4;Pres.Ind.Act.3.Plur:3;Impf.Ind.Act.3.Sing:2;Pres.Ind.Pass.3.Plur:2;Pres.Ind.Act.2.Sing:2;Pres.Imp.Pass.3.Plur:1;Pres.Imp.Act.3.Sing:1;Fut.Ind.Act.1.Sing:1;Past.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Dual:1;Pres.Ind.Act.1.Dual:1;Pres.Imp.Act.2.Plur:1;Pres.Opt.Act.2.Sing:1;Pres.Imp.Act.2.Sing:1;Pres.Imp.Act.3.Plur:1;Fut.Ind.Act.1.Plur:1;Pres.Ind.Act.2.Plur:1
parīkṣay	19	1	Pres.Opt.Act.3.Sing:19
parīndh	1	1	Pres.Ind.Act.3.Sing:1
parīps	20	5	Pres.Ind.Act.3.Plur:10;Pres.Imp.Act.2.Sing:4;Pres.Opt.Act.3.Sing:3;Pres.Ind.Act.3.Sing:2;Pres.Imp.Act.2.Plur:1
parīṣ	9	5	Pres.Opt.Act.3.Sing:3;Fut.Ind.Act.3.Plur:2;Pres.Ind.Act.3.Sing:2;Past.Ind.Act.1.Sing:1;Pres.Ind.Act.3.Plur:1
pat	1585	48	Past.Ind.Act.3.Sing:431;Pres.Ind.Act.3.Sing:257;Pres.Ind.Act.3.Plur:205;Impf.Ind.Act.3.Sing:190;Past.Ind.Act.3.Plur:134;Pres.Opt.Act.3.Sing:74;Pres.Imp.Act.2.Sing:55;Impf.Ind.Act.3.Plur:40;Fut.Ind.Act.3.Sing:28;Pres.Imp.Act.3.Sing:22;Past.Ind.Act.3.Dual:20;Pres.Sub.Act.3.Sing:16;Pres.Ind.Act.2.Sing:13;Pres.Imp.Act.3.Plur:11;Fut.Ind.Act.1.Sing:10;Pres.Opt.Act.1.Sing:7;Fut.Ind.Act.3.Plur:5;Fut.Ind.Act.2.Sing:5;Past.Jus.Act.2.Sing:5;Pres.Ind.Act.2.Dual:5;Pres.Ind.Act.1.Sing:4;Impf.Ind.Act.1.Sing:4;Pres.Imp.Act.2.Plur:3;Pres.Sub.Act.3.Plur:3;Past.Jus.Act.3.Sing:3;Pres.Opt.Act.3.Plur:3;Pres.Imp.Act.2.Dual:3;Pres.Ind.Act.3.Dual:2;Past.Ind.Act.1.Sing:2;Pres.Imp.Act.1.Plur:2;Pres.Opt.Act.1.Plur:2;Past.Ind.Act.1.Plur:2;Past.Ind.Act.2.Dual:2;Past.Jus.Act.3.Plur:2;Pres.Ind.Pass.3.Sing:2;Pres.Imp.Act.3.Dual:1;Past.Opt.Act.3.Sing:1;Impf.Ind.Act.3.Dual:1;Pres.Ind.Act.1.Plur:1;Fut.Ind.Act.3.Dual:1;Fut.Cond.Act.2.Sing:1;Fut.Ind.Act.1.Plur:1;Pres.Opt.Act.2.Sing:1;Pres.Jus.Act.3.Plur:1;Pres.Imp.Act.1.Dual:1;Past.Imp.Act.2.Plur:1;Pres.Ind.Act.2.Plur:1;Pres.Jus.Act.3.Sing:1
patay	19	5	Pres.Ind.Act.3.Plur:11;Pres.Jus.Act.3.Sing:4;Pres.Ind.Act.3.Dual:2;Pres.Ind.Act.3.Sing:1;Pres.Jus.Act.3.Plur:1
pattray	3	1	Pres.Opt.Act.3.Sing:3
pattīy	2	1	Fut.Ind.Act.3.Plur:2
pattīyāpay	1	1	Fut.Ind.Act.1.Sing:1
paty	21	4	Pres.Ind.Act.3.Sing:13;Pres.Ind.Act.3.Dual:4;Pres.Ind.Act.2.Sing:2;Impf.Ind.Act.3.Sing:2
patīy	2	2	Pres.Ind.Act.2.Sing:1;Pres.Ind.Act.3.Plur:1
pavay	51	4	Pres.Ind.Act.3.Sing:44;Pres.Ind.Act.3.Plur:4;Impf.Ind.Act.3.Sing:2;Pres.Imp.Act.3.Sing:1
pavitray	2	2	Pres.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Sing:1
pay	3	1	Pres.Ind.Act.3.Sing:3
paś	4281	51	Pres.Imp.Act.2.Sing:893;Impf.Ind.Act.3.Sing:805;Pres.Ind.Act.1.Sing:443;Pres.Ind.Act.3.Sing:318;Pres.Opt.Act.3.Sing:317;Impf.Ind.Act.3.Plur:231;Impf.Ind.Act.1.Sing:225;Pres.Ind.Act.2.Sing:194;Pres.Imp.Act.2.Plur:134;Pres.Ind.Act.3.Plur:114;Impf.Ind.Act.1.Plur:97;Pres.Ind.Act.1.Plur:92;Pres.Imp.Act.3.Plur:55;Pres.Opt.Act.1.Sing:52;Pres.Opt.Act.1.Plur:47;Past.Ind.Act.3.Sing:44;Pres.Imp.Act.3.Sing:33;Impf.Ind.Act.3.Dual:18;Pres.Sub.Act.1.Plur:17;Pres.Opt.Act.2.Sing:17;Pres.Ind.Act.2.Plur:14;Past.Ind.Act.3.Plur:13;Pres.Opt.Act.3.Plur:13;Pres.Imp.Act.1.Plur:12;Pres.Ind.Act.3.Dual:10;Pres.Ind.Pass.1.Plur:10;Pres.Sub.Act.2.Sing:6;Pres.Jus.Act.3.Sing:6;Impf.Ind.Act.2.Sing:5;Pres.Sub.Act.3.Sing:5;Past.Ind.Act.1.Sing:4;Pres.Ind.Pass.3.Sing:4;Pres.Ind.Pass.1.Sing:3;Pres.Ind.Act.1.Dual:3;Pres.Sub.Act.1.Sing:3;Impf.Ind.Act.1.Dual:3;Pres.Opt.Act.3.Dual:3;Pres.Ind.Pass.2.Sing:3;Pres.Sub.Act.3.Plur:2;Pres.Imp.Act.2.Dual:2;Pres.Imp.Act.1.Sing:1;Pres.Ind.Pass.3.Plur:1;Pres.Opt.Act.2.Dual:1;Pres.Imp.Act.3.Dual:1;Pres.Imp.Act.1.Dual:1;Impf.Ind.Act.2.Plur:1;Pres.Jus.Act.3.Dual:1;Past.Ind.Act.2.Sing:1;Pres.Jus.Act.3.Plur:1;Past.Ind.Act.3.Dual:1;Pres.Ind.Act.2.Dual:1
paṅkay	1	1	Pres.Ind.Act.3.Sing:1
paṇ	26	9	Pres.Ind.Act.3.Sing:14;Pres.Imp.Pass.3.Sing:2;Pres.Ind.Act.1.Dual:2;Pres.Imp.Act.3.Sing:2;Pres.Ind.Act.3.Plur:2;Pres.Imp.Act.2.Plur:1;Pres.Imp.Act.2.Sing:1;Pres.Ind.Pass.3.Sing:1;Pres.Opt.Act.3.Sing:1
paṇāy	2	2	Pres.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1
paṭh	413	21	Pres.Opt.Act.3.Sing:175;Pres.Ind.Act.3.Plur:87;Pres.Ind.Act.3.Sing:53;Pres.Ind.Pass.3.Sing:48;Pres.Ind.Pass.3.Plur:10;Past.Ind.Act.3.Sing:8;Impf.Ind.Act.3.Sing:7;Pres.Imp.Act.2.Sing:4;Pres.Imp.Act.3.Sing:3;Fut.Ind.Act.3.Sing:3;Pres.Imp.Act.2.Plur:2;Pres.Opt.Act.3.Plur:2;Pres.Ind.Pass.2.Sing:2;Fut.Ind.Act.3.Plur:2;Fut.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Plur:1;Impf.Ind.Pass.3.Sing:1;Fut.Ind.Act.1.Plur:1;Pres.Opt.Pass.3.Sing:1;Fut.Ind.Act.2.Sing:1;Pres.Imp.Pass.3.Sing:1
pepīy	1	1	Pres.Ind.Act.3.Sing:1
peṣay	167	2	Pres.Opt.Act.3.Sing:166;Pres.Ind.Act.3.Plur:1
phal	123	7	Pres.Ind.Act.3.Plur:49;Pres.Ind.Act.3.Sing:47;Fut.Ind.Act.3.Sing:13;Past.Ind.Act.3.Sing:7;Pres.Opt.Act.3.Sing:5;Past.Ind.Act.3.Plur:1;Pres.Imp.Act.3.Plur:1
phalīkṛ	7	3	Pres.Ind.Act.3.Sing:5;Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1
phull	1	1	Pres.Ind.Act.3.Sing:1
phālay	1	1	Pres.Ind.Act.3.Sing:1
phāṇay	3	2	Impf.Ind.Act.3.Sing:2;Pres.Opt.Act.3.Sing:1
phūtkṛ	2	2	Pres.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1
pidhā	26	9	Pres.Opt.Act.3.Sing:9;Past.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Sing:3;Past.Ind.Act.3.Plur:3;Pres.Ind.Pass.3.Sing:2;Pres.Ind.Act.1.Sing:2;Fut.Ind.Act.1.Sing:1;Pres.Imp.Act.2.Sing:1;Pres.Ind.Act.3.Plur:1
pidhāpay	3	1	Pres.Opt.Act.3.Sing:3
pinah	1	1	Pres.Ind.Act.1.Sing:1
pinv	129	21	Pres.Imp.Act.2.Sing:46;Pres.Ind.Act.3.Sing:23;Pres.Ind.Act.3.Plur:17;Pres.Imp.Act.2.Dual:11;Pres.Ind.Act.2.Sing:4;Pres.Imp.Act.2.Plur:3;Impf.Ind.Act.3.Sing:3;Past.Ind.Act.2.Dual:3;Impf.Ind.Act.2.Dual:3;Pres.Imp.Act.3.Sing:2;Pres.Ind.Act.2.Dual:2;Impf.Ind.Act.2.Sing:2;Past.Ind.Act.3.Sing:2;Pres.Ind.Act.2.Plur:1;Impf.Ind.Act.3.Dual:1;Impf.Ind.Act.1.Sing:1;Pres.Imp.Act.3.Dual:1;Pres.Jus.Act.3.Plur:1;Pres.Jus.Act.3.Sing:1;Pres.Ind.Act.3.Dual:1;Past.Ind.Act.2.Plur:1
pinvay	5	2	Pres.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Plur:1
pipatiṣ	2	2	Pres.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Sing:1
piprīṣ	1	1	Pres.Ind.Act.3.Sing:1
pipās	13	3	Pres.Ind.Act.3.Sing:9;Pres.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Sing:2
pipāyiṣ	1	1	Pres.Opt.Act.3.Sing:1
pipīṣ	1	1	Pres.Ind.Act.3.Sing:1
piś	31	10	Pres.Imp.Act.3.Sing:8;Past.Ind.Act.3.Sing:6;Pres.Imp.Act.2.Sing:5;Past.Ind.Act.3.Plur:3;Impf.Ind.Act.3.Sing:2;Impf.Ind.Act.2.Plur:2;Pres.Ind.Act.3.Sing:2;Past.Ind.Act.2.Plur:1;Impf.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Plur:1
piśunay	1	1	Pres.Ind.Act.3.Sing:1
piṇḍay	1	1	Pres.Opt.Act.3.Sing:1
piṇḍīkṛ	1	1	Pres.Ind.Act.3.Sing:1
piṣ	71	12	Pres.Ind.Act.3.Sing:18;Past.Ind.Act.3.Sing:13;Pres.Imp.Act.2.Sing:9;Pres.Ind.Act.1.Sing:6;Pres.Ind.Act.3.Plur:6;Pres.Opt.Act.3.Sing:6;Pres.Jus.Act.2.Sing:5;Pres.Ind.Pass.3.Sing:2;Pres.Imp.Act.2.Plur:2;Impf.Ind.Act.3.Plur:2;Past.Ind.Act.3.Plur:1;Past.Jus.Act.2.Plur:1
piṣṭīkṛ	1	1	Pres.Opt.Act.3.Sing:1
plavāy	2	1	Pres.Ind.Act.3.Sing:2
plu	79	14	Pres.Ind.Act.3.Sing:29;Past.Ind.Act.3.Sing:13;Pres.Ind.Act.3.Plur:10;Pres.Opt.Act.3.Sing:7;Past.Ind.Act.3.Plur:4;Pres.Imp.Act.3.Plur:3;Pres.Imp.Act.2.Sing:3;Pres.Ind.Act.2.Sing:2;Pres.Opt.Act.1.Sing:2;Pres.Ind.Act.1.Plur:2;Pres.Opt.Act.3.Plur:1;Past.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Sing:1;Impf.Ind.Act.1.Plur:1
pluṣ	1	1	Pres.Ind.Pass.3.Sing:1
plāvay	46	11	Pres.Opt.Act.3.Sing:15;Past.Ind.Act.3.Sing:10;Fut.Ind.Act.3.Sing:8;Pres.Ind.Act.3.Plur:3;Pres.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Sing:2;Pres.Opt.Act.1.Sing:1;Pres.Ind.Pass.3.Sing:1;Fut.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Sing:1;Fut.Ind.Act.1.Sing:1
poplūy	1	1	Pres.Ind.Act.3.Plur:1
potay	1	1	Pres.Ind.Act.1.Sing:1
pothay	35	6	Impf.Ind.Act.3.Sing:22;Past.Ind.Act.3.Sing:6;Fut.Ind.Act.1.Sing:3;Impf.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Sing:1;Past.Ind.Act.3.Plur:1
poṣay	22	6	Pres.Ind.Act.3.Sing:12;Pres.Imp.Act.2.Sing:4;Pres.Opt.Act.3.Sing:3;Pres.Ind.Act.1.Sing:1;Pres.Ind.Pass.3.Sing:1;Pres.Jus.Act.3.Sing:1
prabalay	1	1	Pres.Ind.Act.3.Sing:1
prabandh	7	5	Pres.Ind.Act.3.Sing:3;Pres.Imp.Act.2.Plur:1;Pres.Ind.Pass.3.Sing:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Plur:1
prabandhay	1	1	Pres.Opt.Act.3.Sing:1
prabhaj	2	1	Pres.Opt.Act.3.Sing:2
prabhakṣ	1	1	Pres.Opt.Act.3.Sing:1
prabhakṣay	1	1	Pres.Ind.Pass.3.Sing:1
prabhañj	2	1	Past.Ind.Act.3.Sing:2
prabheday	2	1	Pres.Opt.Act.3.Sing:2
prabhid	22	8	Pres.Ind.Pass.3.Plur:6;Pres.Ind.Act.3.Sing:5;Impf.Ind.Act.3.Plur:4;Pres.Opt.Pass.3.Sing:2;Pres.Ind.Act.3.Plur:2;Past.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Dual:1
prabhram	2	2	Pres.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Sing:1
prabhraṃś	6	3	Impf.Ind.Act.3.Sing:3;Pres.Ind.Pass.3.Sing:2;Impf.Ind.Pass.3.Plur:1
prabhuj	2	2	Pres.Ind.Act.3.Sing:1;Pres.Ind.Pass.3.Sing:1
prabhā	32	6	Past.Ind.Act.3.Sing:19;Pres.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Plur:3;Pres.Ind.Act.2.Sing:3;Past.Ind.Act.3.Plur:2;Impf.Ind.Act.3.Plur:1
prabhās	5	2	Pres.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Plur:1
prabhāsay	3	3	Pres.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1;Past.Ind.Act.3.Sing:1
prabhāvay	29	8	Pres.Ind.Pass.3.Plur:8;Pres.Ind.Pass.3.Sing:6;Pres.Ind.Act.3.Plur:6;Pres.Imp.Act.2.Sing:5;Fut.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1;Pres.Opt.Act.3.Plur:1
prabhāṣ	50	10	Pres.Ind.Act.2.Sing:26;Pres.Ind.Act.3.Plur:6;Pres.Ind.Act.3.Sing:5;Pres.Opt.Act.3.Sing:4;Pres.Ind.Pass.3.Sing:2;Pres.Imp.Act.3.Sing:2;Pres.Opt.Act.2.Sing:2;Pres.Imp.Act.2.Sing:1;Pres.Ind.Act.2.Plur:1;Impf.Ind.Act.2.Sing:1
prabhū	233	16	Pres.Ind.Act.3.Sing:112;Pres.Ind.Act.3.Plur:53;Fut.Ind.Act.3.Sing:17;Pres.Opt.Act.3.Sing:12;Impf.Ind.Act.3.Sing:8;Past.Ind.Act.3.Sing:7;Pres.Ind.Act.1.Sing:7;Fut.Ind.Act.3.Plur:6;Impf.Ind.Act.3.Plur:2;Fut.Ind.Act.2.Sing:2;Past.Prec.Act.1.Sing:2;Pres.Ind.Act.1.Plur:1;Pres.Ind.Act.2.Sing:1;Past.Ind.Act.3.Plur:1;Pres.Imp.Act.3.Sing:1;Pres.Ind.Act.3.Dual:1
prabhūṣ	2	1	Pres.Ind.Act.3.Dual:2
prabhṛ	6	5	Pres.Ind.Act.1.Sing:2;Pres.Ind.Act.3.Plur:1;Pres.Ind.Act.1.Plur:1;Pres.Imp.Act.2.Sing:1;Fut.Ind.Act.3.Sing:1
prabibhāvayiṣ	1	1	Pres.Ind.Act.3.Plur:1
prabodhay	34	10	Pres.Opt.Act.3.Sing:11;Pres.Ind.Pass.3.Sing:6;Pres.Imp.Act.2.Sing:4;Past.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Sing:2;Pres.Ind.Act.3.Plur:2;Pres.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Dual:1;Impf.Ind.Pass.3.Sing:1
prabrū	231	18	Pres.Imp.Act.2.Sing:89;Pres.Opt.Act.3.Sing:33;Pres.Ind.Act.1.Sing:30;Pres.Imp.Act.3.Sing:20;Impf.Ind.Act.3.Sing:14;Pres.Opt.Act.3.Plur:8;Pres.Imp.Act.2.Plur:8;Pres.Ind.Act.1.Plur:7;Pres.Ind.Act.3.Sing:6;Pres.Imp.Act.1.Dual:5;Pres.Ind.Act.2.Sing:3;Pres.Opt.Act.2.Sing:2;Pres.Jus.Act.1.Plur:1;Pres.Imp.Act.2.Dual:1;Pres.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Plur:1;Past.Ind.Act.3.Sing:1;Pres.Opt.Act.1.Sing:1
prabudh	29	11	Pres.Ind.Act.3.Sing:7;Impf.Ind.Act.3.Sing:6;Pres.Ind.Act.3.Plur:5;Past.Ind.Act.3.Sing:3;Impf.Ind.Act.1.Sing:2;Pres.Imp.Act.2.Sing:1;Pres.Imp.Act.3.Sing:1;Pres.Ind.Act.2.Sing:1;Impf.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Plur:1;Pres.Sub.Act.1.Plur:1
prabādh	28	7	Pres.Ind.Act.3.Sing:18;Pres.Ind.Act.3.Plur:3;Pres.Ind.Pass.3.Sing:2;Pres.Ind.Act.2.Sing:2;Pres.Opt.Act.3.Plur:1;Pres.Imp.Act.2.Plur:1;Pres.Ind.Act.1.Plur:1
pracakṣ	167	4	Pres.Ind.Act.3.Plur:145;Pres.Imp.Act.2.Sing:11;Pres.Ind.Act.1.Plur:10;Pres.Ind.Pass.3.Sing:1
pracal	24	5	Past.Ind.Act.3.Sing:13;Pres.Opt.Act.3.Sing:4;Impf.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Plur:3;Pres.Ind.Act.3.Sing:1
pracar	308	20	Pres.Ind.Act.3.Sing:124;Pres.Ind.Act.3.Plur:81;Pres.Opt.Act.3.Plur:19;Past.Ind.Act.3.Sing:18;Pres.Opt.Act.3.Sing:13;Pres.Imp.Act.2.Sing:9;Fut.Ind.Act.1.Plur:8;Fut.Ind.Act.3.Plur:7;Pres.Imp.Act.2.Plur:7;Fut.Ind.Act.3.Sing:6;Pres.Imp.Act.3.Plur:2;Pres.Ind.Act.3.Dual:2;Pres.Imp.Act.3.Sing:2;Impf.Ind.Act.3.Sing:2;Impf.Ind.Act.3.Plur:2;Pres.Sub.Act.1.Sing:2;Past.Jus.Act.2.Sing:1;Past.Ind.Act.3.Dual:1;Pres.Opt.Act.1.Plur:1;Pres.Jus.Act.3.Plur:1
pracch	1590	49	Past.Ind.Act.3.Sing:443;Pres.Ind.Act.3.Sing:243;Impf.Ind.Act.3.Sing:190;Pres.Ind.Act.1.Sing:153;Past.Ind.Act.3.Plur:81;Pres.Ind.Act.2.Sing:67;Pres.Imp.Act.2.Sing:60;Pres.Opt.Act.3.Sing:51;Impf.Ind.Act.3.Plur:45;Pres.Ind.Act.3.Plur:38;Impf.Ind.Act.1.Sing:25;Pres.Opt.Act.2.Sing:24;Pres.Ind.Act.1.Plur:20;Pres.Imp.Act.3.Sing:14;Pres.Imp.Pass.3.Sing:12;Pres.Imp.Act.2.Plur:11;Impf.Ind.Act.3.Dual:9;Pres.Opt.Act.3.Plur:8;Past.Ind.Act.3.Dual:7;Past.Ind.Act.1.Sing:6;Fut.Ind.Act.1.Sing:6;Pres.Sub.Act.2.Sing:6;Pres.Imp.Act.1.Plur:6;Impf.Ind.Pass.3.Sing:6;Fut.Ind.Act.3.Sing:6;Impf.Ind.Act.1.Plur:5;Pres.Ind.Pass.3.Sing:5;Pres.Ind.Act.2.Plur:4;Impf.Ind.Act.2.Plur:3;Pres.Imp.Pass.3.Plur:3;Past.Ind.Act.2.Sing:3;Pres.Sub.Act.1.Sing:3;Pres.Imp.Act.1.Dual:3;Pres.Sub.Act.3.Sing:3;Pres.Jus.Act.3.Sing:3;Pres.Ind.Act.3.Dual:2;Pres.Imp.Act.1.Sing:2;Fut.Cond.Act.1.Sing:2;Pres.Ind.Pass.2.Sing:2;Fut.Ind.Act.3.Plur:1;Fut.Pot.Act.2.Sing:1;Pres.Opt.Act.1.Sing:1;Past.Ind.Act.2.Plur:1;Pres.Imp.Act.3.Plur:1;Fut.Ind.Act.1.Plur:1;Impf.Ind.Act.2.Sing:1;Fut.Ind.Act.2.Plur:1;Pres.Opt.Act.2.Plur:1;Pres.Sub.Act.3.Plur:1
praccharday	4	1	Pres.Opt.Act.3.Sing:4
praccheday	2	2	Pres.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1
pracchid	38	8	Past.Ind.Act.3.Sing:27;Pres.Ind.Act.3.Sing:4;Impf.Ind.Act.3.Sing:2;Pres.Imp.Act.2.Sing:1;Pres.Ind.Pass.3.Sing:1;Fut.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1
pracchā	1	1	Pres.Opt.Act.3.Sing:1
pracchāday	75	10	Pres.Ind.Act.3.Sing:22;Impf.Ind.Act.3.Sing:21;Past.Ind.Act.3.Sing:14;Pres.Ind.Act.3.Plur:5;Pres.Opt.Act.3.Sing:4;Past.Ind.Act.3.Plur:3;Impf.Ind.Pass.3.Sing:2;Impf.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Plur:1;Impf.Ind.Act.3.Dual:1
praci	8	5	Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.3.Sing:2;Pres.Ind.Pass.3.Sing:2;Pres.Ind.Act.3.Plur:1;Pres.Imp.Act.2.Sing:1
pracintay	4	2	Pres.Imp.Pass.3.Sing:3;Pres.Imp.Act.2.Sing:1
pracit	1	1	Past.Ind.Act.3.Sing:1
pracoday	90	10	Pres.Sub.Act.3.Sing:67;Pres.Imp.Act.2.Sing:5;Impf.Ind.Act.3.Sing:5;Past.Ind.Act.3.Sing:4;Pres.Ind.Act.3.Sing:3;Pres.Opt.Act.3.Sing:2;Impf.Ind.Act.3.Plur:1;Pres.Imp.Pass.3.Sing:1;Pres.Jus.Act.3.Sing:1;Pres.Jus.Act.2.Sing:1
pracurībhū	1	1	Pres.Opt.Act.3.Sing:1
pracyotay	1	1	Pres.Ind.Act.3.Sing:1
pracyu	52	6	Pres.Ind.Act.3.Sing:32;Pres.Imp.Act.2.Sing:9;Pres.Ind.Act.3.Plur:6;Pres.Opt.Act.3.Sing:2;Past.Ind.Act.3.Plur:2;Impf.Ind.Act.3.Sing:1
pracyāvay	26	9	Pres.Ind.Act.3.Sing:10;Impf.Ind.Act.3.Sing:4;Pres.Imp.Act.2.Sing:3;Pres.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Plur:2;Past.Ind.Act.3.Sing:2;Impf.Ind.Act.3.Plur:1;Pres.Imp.Act.3.Plur:1;Pres.Ind.Act.3.Dual:1
pracākaś	1	1	Pres.Jus.Act.3.Sing:1
pracālay	11	1	Pres.Opt.Act.3.Sing:11
pracāray	2	1	Pres.Opt.Act.3.Sing:2
pracūrṇay	4	1	Pres.Opt.Act.3.Sing:4
pracṛt	2	1	Pres.Ind.Act.3.Sing:2
pradagh	2	1	Fut.Ind.Act.3.Plur:2
pradah	67	23	Fut.Ind.Act.3.Sing:21;Pres.Opt.Act.3.Sing:13;Pres.Ind.Act.3.Sing:7;Pres.Imp.Act.2.Sing:2;Pres.Imp.Act.3.Sing:2;Past.Ind.Act.3.Sing:2;Impf.Ind.Act.3.Sing:2;Fut.Ind.Act.3.Plur:2;Fut.Ind.Act.1.Sing:2;Pres.Ind.Act.1.Plur:1;Pres.Ind.Act.1.Sing:1;Past.Jus.Act.2.Sing:1;Past.Jus.Act.3.Sing:1;Pres.Imp.Act.1.Sing:1;Fut.Ind.Act.1.Plur:1;Pres.Opt.Pass.3.Sing:1;Fut.Ind.Act.3.Dual:1;Pres.Ind.Act.3.Dual:1;Pres.Opt.Act.3.Plur:1;Impf.Ind.Act.3.Plur:1;Impf.Ind.Pass.3.Sing:1;Pres.Ind.Pass.3.Sing:1;Pres.Sub.Act.3.Sing:1
pradakṣiṇīkṛ	3	2	Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.2.Sing:1
pradarśay	52	7	Pres.Opt.Act.3.Sing:20;Pres.Ind.Pass.3.Sing:11;Pres.Imp.Act.2.Sing:10;Pres.Ind.Act.3.Sing:7;Past.Ind.Act.3.Sing:2;Past.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Sing:1
pradehay	2	1	Pres.Opt.Act.3.Sing:2
pradham	47	7	Pres.Opt.Act.3.Sing:31;Past.Ind.Act.3.Dual:5;Past.Ind.Act.3.Sing:4;Past.Ind.Act.3.Plur:3;Impf.Ind.Act.1.Sing:2;Pres.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Sing:1
pradhanv	9	5	Pres.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Plur:3;Pres.Imp.Act.2.Sing:1;Impf.Ind.Act.3.Sing:1;Past.Ind.Act.3.Plur:1
pradharṣay	8	4	Pres.Ind.Act.3.Sing:3;Impf.Ind.Act.3.Sing:2;Pres.Opt.Act.3.Sing:2;Fut.Ind.Act.3.Plur:1
pradhmāpay	6	3	Impf.Ind.Act.3.Sing:4;Impf.Ind.Act.1.Sing:1;Impf.Ind.Act.3.Plur:1
pradhraj	1	1	Impf.Ind.Act.3.Sing:1
pradhvan	1	1	Impf.Ind.Act.3.Sing:1
pradhvaṃs	3	2	Pres.Ind.Act.3.Sing:2;Impf.Ind.Act.3.Plur:1
pradhvaṃsay	8	4	Pres.Ind.Act.3.Sing:4;Pres.Opt.Act.3.Sing:2;Past.Ind.Act.3.Sing:1;Fut.Ind.Act.1.Plur:1
pradhyā	21	4	Past.Ind.Act.3.Sing:17;Impf.Ind.Act.3.Plur:2;Impf.Ind.Act.3.Sing:1;Past.Ind.Act.3.Plur:1
pradhā	11	4	Pres.Ind.Act.3.Sing:5;Pres.Opt.Act.3.Sing:4;Impf.Ind.Act.3.Plur:1;Pres.Ind.Pass.3.Sing:1
pradhāpay	2	1	Pres.Opt.Act.3.Sing:2
pradhāray	5	4	Pres.Opt.Act.3.Sing:2;Pres.Ind.Act.1.Sing:1;Pres.Opt.Pass.3.Sing:1;Pres.Imp.Act.3.Plur:1
pradhāv	42	11	Pres.Ind.Act.3.Sing:18;Pres.Ind.Act.3.Plur:8;Impf.Ind.Act.3.Plur:3;Impf.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Dual:2;Pres.Imp.Act.2.Plur:2;Pres.Ind.Act.2.Sing:2;Pres.Opt.Act.1.Sing:1;Impf.Ind.Act.1.Sing:1;Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.2.Plur:1
pradhāvay	6	4	Past.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Sing:1;Pres.Ind.Act.1.Sing:1;Pres.Opt.Act.3.Sing:1
pradhū	5	5	Pres.Opt.Pass.3.Sing:1;Pres.Ind.Pass.3.Sing:1;Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.3.Sing:1;Pres.Ind.Act.3.Dual:1
pradih	18	2	Pres.Opt.Act.3.Sing:17;Pres.Ind.Act.3.Sing:1
pradits	1	1	Impf.Ind.Act.3.Sing:1
