dict,dim_id,dim_name,options_available
SKD,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
SKD,2,Duplication after r,opt1|opt2
SKD,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
SKD,4,Inflected vs uninflected headword form,inflected|uninflected
SKD,5,Anusvāra of verbs,present|absent
SKD,6,ṛkārānta words,opt1|opt2|opt3
SKD,7,vas/yas suffixes,opt1|opt2|opt3|opt4
SKD,8,Sandhi handling at compound boundary,preserved|split|both
SKD,15,Citation format style,abbreviated|full|sanskrit
SKD,16,Mahābhārata edition reference,pune|critical
SKD,18,Verb-class marker style,roman|arabic|sanskrit
SKD,19,Etymology presence,none|partial|full
SKD,20,Cross-reference syntax,explicit|k1|italic|absent
SKD,21,Loanword marker,tagged|untagged
SKD,23,Vedic-only marker,flagged|unflagged
INM,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
INM,2,Duplication after r,opt1|opt2
INM,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
INM,4,Inflected vs uninflected headword form,inflected|uninflected
INM,5,Anusvāra of verbs,present|absent
INM,6,ṛkārānta words,opt1|opt2|opt3
INM,7,vas/yas suffixes,opt1|opt2|opt3|opt4
INM,8,Sandhi handling at compound boundary,preserved|split|both
INM,15,Citation format style,abbreviated|full|sanskrit
INM,16,Mahābhārata edition reference,pune|critical
INM,18,Verb-class marker style,roman|arabic|sanskrit
INM,19,Etymology presence,none|partial|full
INM,20,Cross-reference syntax,explicit|k1|italic|absent
INM,21,Loanword marker,tagged|untagged
INM,23,Vedic-only marker,flagged|unflagged
VEI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
VEI,2,Duplication after r,opt1|opt2
VEI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
VEI,4,Inflected vs uninflected headword form,inflected|uninflected
VEI,5,Anusvāra of verbs,present|absent
VEI,6,ṛkārānta words,opt1|opt2|opt3
VEI,7,vas/yas suffixes,opt1|opt2|opt3|opt4
VEI,8,Sandhi handling at compound boundary,preserved|split|both
VEI,15,Citation format style,abbreviated|full|sanskrit
VEI,16,Mahābhārata edition reference,pune|critical
VEI,18,Verb-class marker style,roman|arabic|sanskrit
VEI,19,Etymology presence,none|partial|full
VEI,20,Cross-reference syntax,explicit|k1|italic|absent
VEI,21,Loanword marker,tagged|untagged
VEI,23,Vedic-only marker,flagged|unflagged
PUI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
PUI,2,Duplication after r,opt1|opt2
PUI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
PUI,4,Inflected vs uninflected headword form,inflected|uninflected
PUI,5,Anusvāra of verbs,present|absent
PUI,6,ṛkārānta words,opt1|opt2|opt3
PUI,7,vas/yas suffixes,opt1|opt2|opt3|opt4
PUI,8,Sandhi handling at compound boundary,preserved|split|both
PUI,15,Citation format style,abbreviated|full|sanskrit
PUI,16,Mahābhārata edition reference,pune|critical
PUI,18,Verb-class marker style,roman|arabic|sanskrit
PUI,19,Etymology presence,none|partial|full
PUI,20,Cross-reference syntax,explicit|k1|italic|absent
PUI,21,Loanword marker,tagged|untagged
PUI,23,Vedic-only marker,flagged|unflagged
BHS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
BHS,2,Duplication after r,opt1|opt2
BHS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
BHS,4,Inflected vs uninflected headword form,inflected|uninflected
BHS,5,Anusvāra of verbs,present|absent
BHS,6,ṛkārānta words,opt1|opt2|opt3
BHS,7,vas/yas suffixes,opt1|opt2|opt3|opt4
BHS,8,Sandhi handling at compound boundary,preserved|split|both
BHS,15,Citation format style,abbreviated|full|sanskrit
BHS,16,Mahābhārata edition reference,pune|critical
BHS,18,Verb-class marker style,roman|arabic|sanskrit
BHS,19,Etymology presence,none|partial|full
BHS,20,Cross-reference syntax,explicit|k1|italic|absent
BHS,21,Loanword marker,tagged|untagged
BHS,23,Vedic-only marker,flagged|unflagged
FRI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
FRI,2,Duplication after r,opt1|opt2
FRI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
FRI,4,Inflected vs uninflected headword form,inflected|uninflected
FRI,5,Anusvāra of verbs,present|absent
FRI,6,ṛkārānta words,opt1|opt2|opt3
FRI,7,vas/yas suffixes,opt1|opt2|opt3|opt4
FRI,8,Sandhi handling at compound boundary,preserved|split|both
FRI,15,Citation format style,abbreviated|full|sanskrit
FRI,16,Mahābhārata edition reference,pune|critical
FRI,18,Verb-class marker style,roman|arabic|sanskrit
FRI,19,Etymology presence,none|partial|full
FRI,20,Cross-reference syntax,explicit|k1|italic|absent
FRI,21,Loanword marker,tagged|untagged
FRI,23,Vedic-only marker,flagged|unflagged
ACC,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
ACC,2,Duplication after r,opt1|opt2
ACC,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
ACC,4,Inflected vs uninflected headword form,inflected|uninflected
ACC,5,Anusvāra of verbs,present|absent
ACC,6,ṛkārānta words,opt1|opt2|opt3
ACC,7,vas/yas suffixes,opt1|opt2|opt3|opt4
ACC,8,Sandhi handling at compound boundary,preserved|split|both
ACC,15,Citation format style,abbreviated|full|sanskrit
ACC,16,Mahābhārata edition reference,pune|critical
ACC,18,Verb-class marker style,roman|arabic|sanskrit
ACC,19,Etymology presence,none|partial|full
ACC,20,Cross-reference syntax,explicit|k1|italic|absent
ACC,21,Loanword marker,tagged|untagged
ACC,23,Vedic-only marker,flagged|unflagged
KRM,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
KRM,2,Duplication after r,opt1|opt2
KRM,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
KRM,4,Inflected vs uninflected headword form,inflected|uninflected
KRM,5,Anusvāra of verbs,present|absent
KRM,6,ṛkārānta words,opt1|opt2|opt3
KRM,7,vas/yas suffixes,opt1|opt2|opt3|opt4
KRM,8,Sandhi handling at compound boundary,preserved|split|both
KRM,15,Citation format style,abbreviated|full|sanskrit
KRM,16,Mahābhārata edition reference,pune|critical
KRM,18,Verb-class marker style,roman|arabic|sanskrit
KRM,19,Etymology presence,none|partial|full
KRM,20,Cross-reference syntax,explicit|k1|italic|absent
KRM,21,Loanword marker,tagged|untagged
KRM,23,Vedic-only marker,flagged|unflagged
MCI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
MCI,2,Duplication after r,opt1|opt2
MCI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
MCI,4,Inflected vs uninflected headword form,inflected|uninflected
MCI,5,Anusvāra of verbs,present|absent
MCI,6,ṛkārānta words,opt1|opt2|opt3
MCI,7,vas/yas suffixes,opt1|opt2|opt3|opt4
MCI,8,Sandhi handling at compound boundary,preserved|split|both
MCI,15,Citation format style,abbreviated|full|sanskrit
MCI,16,Mahābhārata edition reference,pune|critical
