dict_a,dict_b,n_exclusive_lemmas,examples
BHS,GST,1,aprakAra
ABCH,GST,1,aprakIrRaprasftatva
GST,MD,1,aprayacCat
GST,SCH,1,aprASastya
MD,SCH,1,asfkpaNkapezam
AP90,PW,1,AkaraRA
BHS,BOP,1,ACAdana
AP90,SCH,1,AdAnaM
AP90,CAE,1,AdevanaM
LRV,STC,1,ApyA
ACPH,PUI,1,iqAvatsara
INM,YAT,1,ISvareSvara
BUR,PE,1,ujjaya
AP90,MW,1,uttaraMgi
ARMH,IEG,1,udDa
BOP,PWG,1,unmUlay
STC,YAT,1,upajYa
ABCH,IEG,1,uzara
STC,VCP,1,Elaviqa
ARMH,PUI,1,kaYcuki
MCI,SCH,1,kAYcanaSEla
INM,STC,1,kAYcya
ACPH,PE,1,kiNkaRa
LRV,MCI,1,kucarA
ACSJ,CAE,1,kuRqinapura
FRI,SHS,1,kutaScana
ACPH,IEG,1,kowwapati
ARMH,MW72,1,garjanmeGa
BOP,IEG,1,gi
CAE,PUI,1,girivara
IEG,PWG,1,govallava
CCS,STC,1,Gnant
KRM,PUI,1,cancu
BOP,YAT,1,Ced
GRA,SCH,1,jAGana
STC,VEI,1,jIvant
ACSJ,VCP,1,tilantuda
ACC,CCS,1,tripuryupanizad
FRI,LAN,1,tvatkfte
BEN,BHS,1,duHp
ACPH,VCP,1,duzwasAkzin
PGN,VCP,1,devaSarmman
MD,PUI,1,dyutaya
AP90,PWG,1,dvaMdvIBUta
FRI,PUI,1,nAgakula
CCS,YAT,1,niHsajYa
BEN,INM,1,nirGaRwaka
AP90,MW72,1,niviqIsa
ACPH,SNP,1,niSAhvaya
PW,SHS,1,niScukvaRa
CCS,SCH,1,nizakti
CCS,LRV,1,paraMjaya
MCI,SKD,1,pAkA
AP90,SHS,1,pAMktya
ARMH,SHS,1,pAzARasanDi
ACSJ,PUI,1,pilaka
CAE,VCP,1,pUrvavAh
BHS,SHS,1,prakAnta
PE,VEI,1,baBrudEvAvfDa
IEG,SHS,1,brA
CCS,SKD,1,BaYjan
LAN,LRV,1,BavitavyA
AP,WIL,1,BujaNgasaMgatA
LRV,WIL,1,BraMsa
CAE,IEG,1,mahAdoza
PGN,PUI,1,mitradevI
GRA,STC,1,mIQus
MD,WIL,1,muYca
AP,CCS,1,mUrcC
CCS,MW72,1,yatAna
ACSJ,PWG,1,yOvanikA
BHS,GRA,1,lABika
CAE,SKD,1,vawArakA
BUR,GRA,1,varutrI
ABCH,PUI,1,vArDuzi
MW72,VEI,1,vicftO
LRV,VEI,1,vimuktA
MD,VEI,1,vizARA
ACSJ,SKD,1,vihaNgamA
GRA,INM,1,vIrin
SKD,SNP,1,SatapatrikA
CCS,INM,1,SAntatama
KRM,MW72,1,SAsu
BOP,PUI,1,SEvyA
KRM,LRV,1,SvitA
BOP,SKD,1,saKA
LAN,MW72,1,sanILa
BEN,WIL,1,samAsajjana
BUR,PUI,1,samyama
PUI,STC,1,sarmA
ABCH,BUR,1,sAnnAya
ABCH,BEN,1,sArpI
INM,SHS,1,sidDasaNkalpa
ACPH,BHS,1,suvfza
AP,GRA,1,susadfS
GRA,SKD,1,suhastI
BOP,FRI,1,soQum
MCI,PWG,1,somadEvata
AP,KRM,1,sPUrjA
ACC,BUR,1,svaCanda
