from,to,unit,layer,count
̣,v,diacritic,form,15
 ,e,whitespace,form,15
̄,i,diacritic,form,15
r,m,consonant,form,15
a,h,vowel,form,15
O,̄,diacritic,form,15
e,h,vowel,form,15
r,s,consonant,form,15
̄,A,diacritic,form,15
K,v,consonant,form,15
̃,Y,diacritic,form,15
.,¯,punctuation,form,15
Y,7,consonant,form,15
B,›,consonant,form,15
V,‹,consonant,form,15
r,m,consonant,git,15
r,v,consonant,git,15
c,o,consonant,git,15
v,b,consonant,git,15
-,.,punctuation,git,15
l,f,consonant,git,15
r,f,consonant,git,15
u,e,vowel,git,15
d,t,consonant,git,15
l,b,consonant,git,15
 ,2,whitespace,git,15
 ,1,whitespace,git,15
r,s,consonant,git,15
{,l,punctuation,git,15
̂,0,diacritic,git,15
>,̣,diacritic,git,15
a,1,vowel,git,15
/,t,punctuation,git,15
u, ,vowel,git,15
a,ा,vowel,git,15
%,̣,diacritic,git,15
i,},vowel,git,15
%,C,punctuation,git,15
φ,ϕ,latin,git,15
8,3,digit,git,15
r,र,consonant,git,15
u,i,vowel,form,14
 ,s,whitespace,form,14
t,e,consonant,form,14
v,r,consonant,form,14
],n,punctuation,form,14
i, ,vowel,form,14
t, ,consonant,form,14
m,d,consonant,form,14
v,̣,diacritic,form,14
D,̣,diacritic,form,14
t,́,diacritic,form,14
i,e,vowel,form,14
i,t,vowel,form,14
a,b,vowel,form,14
.,r,punctuation,form,14
",",r,punctuation,form,14
 ,¯,whitespace,form,14
A,B,vowel,form,14
›,a,punctuation,form,14
n,V,consonant,form,14
s, ,consonant,git,14
., ,punctuation,git,14
i,r,vowel,git,14
 ,.,whitespace,git,14
",", ,punctuation,git,14
v,.,consonant,git,14
/,s,punctuation,git,14
 ,s,whitespace,git,14
9,8,digit,git,14
e,n,vowel,git,14
<,s,punctuation,git,14
e, ,vowel,git,14
n,.,consonant,git,14
1,5,digit,git,14
e,E,case,git,14
i, ,vowel,git,14
8,9,digit,git,14
̄,ा,diacritic,git,14
r,्,diacritic,git,14
a,क,vowel,git,14
e,̣,diacritic,form,13
l,i,consonant,form,13
̣,D,diacritic,form,13
h,̣,diacritic,form,13
u,n,vowel,form,13
 ,r,whitespace,form,13
r,̄,diacritic,form,13
F,f,case,form,13
g,r,consonant,form,13
Q,d,consonant,form,13
s,d,consonant,form,13
.,h,punctuation,form,13
i,l,vowel,form,13
i,n,vowel,form,13
), ,punctuation,form,13
5,4,digit,form,13
t,S,consonant,git,13
d,l,consonant,git,13
t,e,consonant,git,13
s,x,consonant,git,13
p,v,consonant,git,13
 ,t,whitespace,git,13
E,a,vowel,git,13
 ,/,whitespace,git,13
a,/,vowel,git,13
6,4,digit,git,13
"""",s,punctuation,git,13
w,h,consonant,git,13
h,a,consonant,git,13
