control,dict,cv,kbar,n_true,gamma_analytic,gamma_emp,median,p25,p75,rel_bias,bias_predicted,coverage,envelope_recovery,n_reps,passes,family,cv_realised,gamma_identity,implied_n1,implied_n2,observed_n1,observed_n2,gamma_sequential,gamma_heterogeneity,gamma_naive_product,product_error
C sequential removal,pw,,2.5,67852,0.8926447536092076,0.8906448958490216,76115.39288251632,74733.29479034308,77661.68245838668,0.12178554622584925,0.1202664844628567,0.02,,400,1,,,,20864,2875,9756,1369,,,,
C sequential removal,pw,,4.0,67852,0.9801725987182208,0.9815490689853184,69108.36307955743,68464.16761217122,69894.50126968004,0.018516227665469343,0.02022847946138029,0.8025,,400,1,,,,29830,4533,9756,1369,,,,
C sequential removal,mw,,1.0,60997,0.0,nan,nan,,,nan,inf,0.0,,0,1,,,,,,,,,,,
C sequential removal,mw,,1.5,60997,0.5828116438658065,0.5794922293871252,104657.59754738015,99036.5,109754.8940397351,0.7157827032047503,0.7158202148587338,0.0,,400,1,,,,2142,7854,1443,5575,,,,
C sequential removal,mw,,2.5,60997,0.8926447536092061,0.8910223924495424,68374.65266480426,66760.45371775418,69834.09813084113,0.12095107406600758,0.1202664844628587,0.09,,400,1,,,,3514,12338,1443,5575,,,,
C sequential removal,mw,,4.0,60997,0.9801725987182202,0.9803664273397701,62194.00685076494,61390.53636363636,62992.02702702703,0.01962402824343723,0.020228479461380955,0.8675,,400,1,,,,5512,18372,1443,5575,,,,
C sequential removal,cae,,1.0,40069,0.0,nan,nan,,,nan,inf,0.0,,0,1,,,,,,,,,,,
C sequential removal,cae,,1.5,40069,0.5828116438658394,0.576458265386751,66090.73684210525,56825.0,77407.33333333333,0.649423166091124,0.715820214858637,0.6075,,400,1,,,,2682,484,1824,339,,,,
C sequential removal,cae,,2.5,40069,0.8926447536092199,0.892890433231998,44370.36970474968,41581.0987654321,48150.179487179485,0.1073490654807876,0.12026648446284138,0.895,,400,1,,,,4336,802,1824,339,,,,
C sequential removal,cae,,4.0,40069,0.9801725987182244,0.9808351949283733,40696.9990345796,38963.43192488263,42534.800995024874,0.015672940042916084,0.020228479461376514,0.9325,,400,1,,,,6682,1274,1824,339,,,,
C sequential removal,bur,,1.0,17247,0.0,nan,nan,,,nan,inf,0.0,,0,1,,,,,,,,,,,
C sequential removal,bur,,1.5,17247,0.582811643865811,0.587538213004748,28858.5,26615.116666666665,31740.42,0.6732475213080535,0.7158202148587207,0.005,,400,1,,,,1287,1231,877,883,,,,
C sequential removal,bur,,2.5,17247,0.8926447536092093,0.8912082171963265,19281.58971216692,18580.023255813954,20056.671641791047,0.1179677458205437,0.1202664844628547,0.6375,,400,1,,,,2073,1986,877,883,,,,
C sequential removal,bur,,4.0,17247,0.9801725987182232,0.9771331751705319,17628.38134379714,17189.560209424082,18013.04488330341,0.02211290913185726,0.020228479461377846,0.9275,,400,1,,,,3180,3052,877,883,,,,
E mechanism composition,pw,0.5,1.5,67852,0.7027228351973546,0.704995227090149,95897.5700563944,92902.59504132232,99812.66228070176,0.41333446407466834,0.42303615296514074,0.0,,400,1,,,,,,,,0.5828116438658092,1.25,0.7285145548322615,0.025791719634906896
E mechanism composition,pw,0.85,1.5,67852,0.9735254015171425,0.9758137829933989,69344.93320039881,67015.28712871287,71825.90847457627,0.022002788427736952,0.027194563636038227,0.965,,400,1,,,,,,,,0.5828116438658092,1.7225,1.0038930565588562,0.03036765504171368
E mechanism composition,pw,0.5,2.5,67852,1.0610107878824728,1.0625380762360102,63809.89864173737,62608.1867881549,64886.41715628672,-0.05957232444530203,-0.057502514186718034,0.38,,400,1,,,,,,,,0.8926447536092076,1.25,1.1158059420115094,0.05479515412903657
